Bank Name,Type,Savings Interest (%),FD Max Interest (%),Tenure,Minimum Deposit,Notes
SBI,PSU,2.7,7.0,7 days–10 years,₹1000,Govt-backed
HDFC Bank,Private,3.25,6.45,7 days–10 years,₹5000,Popular retail bank
ICICI Bank,Private,2.75,6.5,7 days–10 years,₹10000,Uniform savings rate
Kotak Bank,Private,3.5,6.7,7 days–10 years,₹5000,Flexible FD
Axis Bank,Private,3.25,6.9,7 days–10 years,₹5000,Competitive FD
Bank of Baroda,PSU,2.75,6.3,7 days–10 years,₹1000,Stable returns
PNB,PSU,2.7,6.5,7 days–10 years,₹1000,Govt bank
Canara Bank,PSU,2.9,6.5,7 days–10 years,₹1000,Strong PSU
Union Bank,PSU,2.75,6.4,7 days–10 years,₹1000,Moderate rates
Indian Bank,PSU,2.8,6.2,7 days–10 years,₹1000,Short-term FD good
Yes Bank,Private,5.0,7.5,7 days–10 years,₹1000,High returns
IDFC FIRST Bank,Private,6.0,7.5,7 days–10 years,₹10000,High savings interest
IndusInd Bank,Private,4.5,7.0,7 days–10 years,₹10000,Good FD
RBL Bank,Private,5.5,7.2,7 days–10 years,₹1000,High FD
Bandhan Bank,Private,5.0,7.2,7 days–10 years,₹1000,Strong FD
AU SFB,SFB,6.0,6.75,7 days–10 years,₹1000,Growing bank
Ujjivan SFB,SFB,6.5,7.5,7 days–10 years,₹1000,High interest
Jana SFB,SFB,6.5,7.7,7 days–10 years,₹1000,Very high FD
Equitas SFB,SFB,6.0,7.5,7 days–10 years,₹1000,Popular SFB
Suryoday SFB,SFB,6.5,7.9,7 days–10 years,₹1000,Highest FD
DBS Bank,Foreign,5.0,6.5,7 days–10 years,₹10000,Premium bank
HSBC,Foreign,3.0,5.5,7 days–10 years,₹25000,Global bank
